update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
385,788480,271.80967583364173,3434,-0.06666666666666667,0.35901098714230023,-1.0,1.0,-0.0020650399639761344,-0.009252888352986207,71.3,14.257512639540835,16.0,76.0,0.8377997428178787,-0.016297135036438704,-0.0025901656335918233,0.009096452267840505,0.04405933036327016,-0.06666666666666667,0.35901098714230023,-1.0,1.0
390,798720,242.33687971654211,3477,-0.16,0.36660605559646714,-1.0,0.0,-0.0043789105631210894,-0.018151906446018294,70.48,13.664903951363875,22.0,76.0,0.8383463770151138,-0.03589091124013066,-0.0069690269738202915,0.008784799196291715,0.04838900861021442,-0.16,0.36660605559646714,-1.0,0.0
395,808960,218.75555085613783,3519,-0.14285714285714285,0.4403152859263555,-1.0,1.0,-0.004392514581590212,-0.020126738540648215,69.78571428571429,14.602732481229923,22.0,76.0,0.8458970338106155,-0.030281548388302326,-0.00765850575407967,0.011255385470576584,0.04637992762962019,-0.14285714285714285,0.4403152859263555,-1.0,1.0
400,819200,260.63628969552775,3560,-0.2571428571428571,0.4370588154508102,-1.0,0.0,-0.043582665725522864,-0.11140041305969307,62.142857142857146,25.829266741589148,1.0,76.0,0.8677569851279259,-0.05299449432641268,0.00476989580783993,0.016612257924862206,0.05869592851941705,-0.2571428571428571,0.4370588154508102,-1.0,0.0
405,829440,305.44402804018864,3601,-0.17142857142857143,0.5062870041905528,-1.0,1.0,-0.029177460457867354,-0.0836726648883637,63.2,24.243762084297067,2.0,76.0,0.8877298384904861,-0.02726320526562631,-0.007570235087769106,0.01783844211604446,0.050960847433593345,-0.17142857142857143,0.5062870041905528,-1.0,1.0
410,839680,183.8416982085635,3643,-0.2,0.4,-1.0,0.0,-0.007389564597768931,-0.038537427093610764,67.93333333333334,18.415452448660847,16.0,76.0,0.8697356507182121,-0.03514527436345816,0.004727022926090285,0.011435652733780444,0.03754028153805222,-0.2,0.4,-1.0,0.0
415,849920,278.673701365797,3682,-0.15384615384615385,0.36080121229411,-1.0,0.0,-0.00402638503083277,-0.016330876368244433,70.92307692307692,13.564441855094396,28.0,76.0,0.8615481853485107,-0.02983664209023118,-0.003809112124145031,0.008883879345376045,0.04498813277102613,-0.15384615384615385,0.36080121229411,-1.0,0.0
420,860160,270.7599043954943,3723,-0.1875,0.46351240544347894,-1.0,1.0,-0.03461961233558062,-0.04207272942370559,67.40625,18.81963631257257,1.0,76.0,0.8676244765520096,-0.031842020340263844,0.006078893231460825,0.01456335885450244,0.0464717309761063,-0.1875,0.46351240544347894,-1.0,1.0
425,870400,222.64038190762273,3763,-0.15625,0.4408354993645589,-1.0,1.0,-0.008748246899121417,-0.04703968423881326,66.125,20.186242220879052,10.0,76.0,0.8290425464510918,-0.03547604358755052,-0.012274143809918314,0.012856344284955412,0.05827116058710505,-0.15625,0.4408354993645589,-1.0,1.0
430,880640,263.9140637649499,3805,-0.0967741935483871,0.29565004483586066,-1.0,0.0,-0.0019256160070232923,-0.005372932385152206,74.03225806451613,7.797782443116564,34.0,76.0,0.8229872435331345,-0.0204217869322747,0.00041549032903276384,0.006300964712863788,0.04054769672272576,-0.0967741935483871,0.29565004483586066,-1.0,0.0
435,890880,248.50479664197164,3847,0.037037037037037035,0.33126932999996883,-1.0,1.0,0.0011342909713376221,0.005870555161121905,72.22222222222223,12.329829332072068,23.0,76.0,0.8512643948197365,-0.007040589407552034,-0.022528948029503226,0.007284640392754227,0.037198619565358935,0.037037037037037035,0.33126932999996883,-1.0,1.0
440,901120,278.427830600236,3884,-0.26666666666666666,0.5120763831912406,-1.0,1.0,-0.010965035886143882,-0.04891020798379682,63.9,20.624176751246743,7.0,76.0,0.8963424935936928,-0.03778478456661105,0.017947747808648273,0.01892749546095729,0.0582358425053245,-0.26666666666666666,0.5120763831912406,-1.0,1.0
445,911360,264.9735517056946,3924,-0.08,0.2712931993250107,-1.0,0.0,-0.0012599206349206348,-0.0016741279396699814,75.0,3.394112549695428,63.0,76.0,0.8980381265282631,-0.023953752592206,-0.013008914655074477,0.004162435892794747,0.0325905886441559,-0.08,0.2712931993250107,-1.0,0.0
450,921600,197.42747040990162,3970,-0.20588235294117646,0.47150645711415873,-1.0,1.0,-0.007373763900593363,-0.03670697774165396,67.11764705882354,17.74619214479936,14.0,76.0,0.8832564055919647,-0.04205127852037549,0.008485953105264343,0.01980715594254434,0.08027229978647976,-0.20588235294117646,0.47150645711415873,-1.0,1.0
455,931840,262.38830747256435,4010,-0.21212121212121213,0.40881022918884974,-1.0,0.0,-0.012049387020451635,-0.05908195324301123,66.51515151515152,20.445227956400103,6.0,76.0,0.8290060088038445,-0.03176597272977233,0.01637410093098879,0.014689948176965117,0.04717309919038656,-0.21212121212121213,0.40881022918884974,-1.0,0.0
460,942080,199.5710743989438,4051,-0.12903225806451613,0.5531105870800725,-1.0,1.0,-0.005027148347442381,-0.027668937435782828,67.80645161290323,16.399093906595454,19.0,76.0,0.8127564117312431,-0.03673590859398246,-0.002970824731164612,0.0212282050633803,0.07228319320518989,-0.12903225806451613,0.5531105870800725,-1.0,1.0
465,952320,271.51624905948455,4095,-0.425,0.5868347297152751,-1.0,1.0,-0.06730319661252938,-0.12727676739577437,52.675,27.174793007491335,1.0,76.0,0.8987478017807007,-0.07040448300540447,0.0422256498131901,0.03874203749001026,0.09756797800956223,-0.425,0.5868347297152751,-1.0,1.0
470,962560,265.5813774280514,4141,-0.12121212121212122,0.5369710650505863,-1.0,1.0,-0.0058510182752607,-0.0353116704445392,63.57575757575758,20.78902726750603,16.0,76.0,0.8887840285897255,-0.028376944828778505,-0.007397836103336886,0.020666927099227905,0.08565445260906814,-0.12121212121212122,0.5369710650505863,-1.0,1.0
475,972800,242.67367380228754,4184,-0.16129032258064516,0.4469808535661619,-1.0,1.0,-0.002946684271467838,-0.00615494326638197,69.0,15.16787777274831,22.0,76.0,0.9119337722659111,-0.041530365124344826,0.0007315762923099101,0.01602417998947203,0.06093695513609656,-0.16129032258064516,0.4469808535661619,-1.0,1.0
